UniProt ID;Gene;Protein name
P27352;CBLIF;Cobalamin binding intrinsic factor
Q14116;IL18;Interleukin-18
P01833;PIGR;Polymeric immunoglobulin receptor
P04179;SOD2;Superoxide dismutase [Mn], mitochondrial
Q9GZV9;FGF23;Fibroblast growth factor 23
Q9BUD6;SPON2;Spondin-2
Q04760;GLO1;Lactoylglutathione lyase
Q13219;PAPPA;Pappalysin-1
P00797;REN;Renin
Q12866;MERTK;Tyrosine-protein kinase Mer
P35442;THBS2;Thrombospondin-2
P07204;THBD;Thrombomodulin
P05231;IL6;Interleukin-6
P35318;ADM;Pro-adrenomedullin
Q9NQ25;SLAMF7;SLAM family member 7
Q76LX8;ADAMTS13;A disintegrin and metalloproteinase with thrombospondin motifs 13
P24394;IL4R;Interleukin-4 receptor subunit alpha
P18510;IL1RN;Interleukin-1 receptor antagonist protein
P22004;BMP6;Bone morphogenetic protein 6
P35475;IDUA;Alpha-L-iduronidase
P25116;F2R;Proteinase-activated receptor 1
Q9BQR3;PRSS27;Serine protease 27
P13726;F3;Tissue factor
P01127;PDGFB;Platelet-derived growth factor subunit B
Q14213_Q8NEV9;EBI3_IL27;Interleukin-27
P06858;LPL;Lipoprotein lipase
P07585;DCN;Decorin
P31994;FCGR2B;Low affinity immunoglobulin gamma Fc region receptor II-b
P10147;CCL3;C-C motif chemokine 3
Q92583;CCL17;C-C motif chemokine 17
O00182;LGALS9;Galectin-9
P21583;KITLG;Kit ligand
Q9NSA1;FGF21;Fibroblast growth factor 21
Q15109;AGER;Advanced glycosylation end product-specific receptor
Q99895;CTRC;Chymotrypsin-C
P78380;OLR1;Oxidized low-density lipoprotein receptor 1
P19883;FST;Follistatin
Q9UIB8;CD84;SLAM family member 5
Q8IW75;SERPINA12;Serpin A12
Q16698;DECR1;2,4-dienoyl-CoA reductase, mitochondrial
Q96D42;HAVCR1;Hepatitis A virus cellular receptor 1
P01241;GH1;Somatotropin
P09341;CXCL1;Growth-regulated alpha protein
Q15389;ANGPT1;Angiopoietin-1
P29965;CD40LG;CD40 ligand
P49763;PGF;Placenta growth factor
Q9BWV1;BOC;Brother of CDO
P12931;SRC;Proto-oncogene tyrosine-protein kinase Src
Q8TAD2;IL17D;Interleukin-17D
Q13043;STK4;Serine/threonine-protein kinase 4
Q9Y6Q6;TNFRSF11A;Tumor necrosis factor receptor superfamily member 11A
O14763;TNFRSF10B;Tumor necrosis factor receptor superfamily member 10B
Q02763;TEK;Angiopoietin-1 receptor
Q9HB29;IL1RL2;Interleukin-1 receptor-like 2
O00220;TNFRSF10A;Tumor necrosis factor receptor superfamily member 10A
Q16651;PRSS8;Prostasin
O94907;DKK1;Dickkopf-related protein 1
Q9UKP3;ITGB1BP2;Integrin beta-1-binding protein 2
P09237;MMP7;Matrilysin
O00253;AGRP;Agouti-related protein
P26022;PTX3;Pentraxin-related protein PTX3
P31997;CEACAM8;Carcinoembryonic antigen-related cell adhesion molecule 8
Q14005;IL16;Pro-interleukin-16
P09601;HMOX1;Heme oxygenase 1
P02760;AMBP;Protein AMBP
Q96IQ7;VSIG2;V-set and immunoglobulin domain-containing protein 2
P12104;FABP2;Fatty acid-binding protein, intestinal
O43915;VEGFD;Vascular endothelial growth factor D
P01730;CD4;T-cell surface glycoprotein CD4
P35218;CA5A;Carbonic anhydrase 5A, mitochondrial
P21980;TGM2;Protein-glutamine gamma-glutamyltransferase 2
O14836;TNFRSF13B;Tumor necrosis factor receptor superfamily member 13B
Q9BQ51;PDCD1LG2;Programmed cell death 1 ligand 2
P39900;MMP12;Macrophage metalloelastase
P51161;FABP6;Gastrotropin
P40225;THPO;Thrombopoietin
Q9UJM8;HAO1;Hydroxyacid oxidase 1
Q99523;SORT1;Sortilin
P47992;XCL1;Lymphotactin
P51888;PRELP;Prolargin
Q14242;SELPLG;P-selectin glycoprotein ligand 1
Q99075;HBEGF;Proheparin-binding EGF-like growth factor
P09874;PARP1;Poly [ADP-ribose] polymerase 1
Q9Y6K9;IKBKG;NF-kappa-B essential modulator
P04792;HSPB1;Heat shock protein beta-1
P41159;LEP;Leptin
Q9UK05;GDF2;Growth/differentiation factor 2
P07711;CTSL;Cathepsin L1
Q9BYF1;ACE2;Angiotensin-converting enzyme 2
P16860;NPPB;Natriuretic peptides B
Q9UEW3;MARCO;Macrophage receptor MARCO
Q8IYS5;OSCAR;Osteoclast-associated immunoglobulin-like receptor
