UniProt ID;Gene;Protein name
P00915;CA1;Carbonic anhydrase 1
P11226;MBL2;Mannose-binding protein C
P12318;FCGR2A;Low affinity immunoglobulin gamma Fc region receptor II-a
P12830;CDH1;Cadherin-1
P13501;CCL5;C-C motif chemokine 5
P13591;NCAM1;Neural cell adhesion molecule 1
P13987;CD59;CD59 glycoprotein
P14151;SELL;L-selectin
P14543;NID1;Nidogen-1
P15529;CD46;Membrane cofactor protein
P15907;ST6GAL1;Beta-galactoside alpha-2,6-sialyltransferase 1
P11215;ITGAM;Integrin alpha-M
P16871;IL7R;Interleukin-7 receptor subunit alpha
P17936;IGFBP3;Insulin-like growth factor-binding protein 3
P19021;PAM;Peptidyl-glycine alpha-amidating monooxygenase
P19320;VCAM1;Vascular cell adhesion protein 1
P20023;CR2;Complement receptor type 2
P20062;TCN2;Transcobalamin-2
P22105;TNXB;Tenascin-X
P22748;CA4;Carbonic anhydrase 4
P22749;GNLY;Granulysin
P23141;CES1;Liver carboxylesterase 1
P24592;IGFBP6;Insulin-like growth factor-binding protein 6
P17813;ENG;Endoglin
P24821;TNC;Tenascin
P10721;KIT;Mast/stem cell growth factor receptor Kit
P08709;F7;Coagulation factor VII
O14786;NRP1;Neuropilin-1
O15031;PLXNB2;Plexin-B2
O75015;FCGR3B;Low affinity immunoglobulin gamma Fc region receptor III-B
O75023;LILRB5;Leukocyte immunoglobulin-like receptor subfamily B member 5
O95445;APOM;Apolipoprotein M
P01033;TIMP1;Metalloproteinase inhibitor 1
P03950;ANG;Angiogenin
P03951;F11;Coagulation factor XI
P05362;ICAM1;Intercellular adhesion molecule 1
P05543;SERPINA7;Thyroxine-binding globulin
P07359;GP1BA;Platelet glycoprotein Ib alpha chain
P07478;PRSS2;Trypsin-2
P08581;MET;Hepatocyte growth factor receptor
O00533;CHL1;Neural cell adhesion molecule L1-like protein
Q13093;PLA2G7;Platelet-activating factor acetylhydrolase
Q12805;EFEMP1;EGF-containing fibulin-like extracellular matrix protein 1
Q03167;TGFBR3;Transforming growth factor beta receptor type 3
P59665;DEFA1_DEFA1B;Neutrophil defensin 1
P55774;CCL18;C-C motif chemokine 18
P46531;NOTCH1;Neurogenic locus notch homolog protein 1
P39060;COL18A1;Collagen alpha-1(XVIII) chain
P35542;SAA4;Serum amyloid A-4 protein
P32942;ICAM3;Intercellular adhesion molecule 3
P27487;DPP4;Dipeptidyl peptidase 4
Q14767;LTBP2;Latent-transforming growth factor beta-binding protein 2
Q9UGM5;FETUB;Fetuin-B
Q9H1U4;MEGF9;Multiple epidermal growth factor-like domains protein 9
Q9BXJ1;C1QTNF1;Complement C1q tumor necrosis factor-related protein 1
Q96KN2;CNDP1;Beta-Ala-His dipeptidase
Q96H15;TIMD4;T-cell immunoglobulin and mucin domain-containing protein 4
Q6EMK4;VASN;Vasorin
Q16769;QPCT;Glutaminyl-peptide cyclotransferase
Q15582;TGFBI;Transforming growth factor-beta-induced protein ig-h3
Q15113;PCOLCE;Procollagen C-endopeptidase enhancer 1
Q9Y5Y7;LYVE1;Lymphatic vessel endothelial hyaluronic acid receptor 1
P00441;SOD1;Superoxide dismutase [Cu-Zn]
P01034;CST3;Cystatin-C
P0DOY2;IGLC2;Immunoglobulin lambda constant 2
P05154;SERPINA5;Plasma serine protease inhibitor
P05451;REG1A;Lithostathine-1-alpha
P06681;C2;Complement C2
P07451;CA3;Carbonic anhydrase 3
P07911;UMOD;Uromodulin
P04070;PROC;Vitamin K-dependent protein C
Q13332;PTPRS;Receptor-type tyrosine-protein phosphatase S
Q12884;FAP;Prolyl endopeptidase FAP
Q06141;REG3A;Regenerating islet-derived protein 3-alpha
P80188;LCN2;Neutrophil gelatinase-associated lipocalin
Q13361;MFAP5;Microfibrillar-associated protein 5
P49747;COMP;Cartilage oligomeric matrix protein
P42785;PRCP;Lysosomal Pro-X carboxypeptidase
P35590;TIE1;Tyrosine-protein kinase receptor Tie-1
P35443;THBS4;Thrombospondin-4
P55058;PLTP;Phospholipid transfer protein
Q14393;GAS6;Growth arrest-specific protein 6
Q9Y5C1;ANGPTL3;Angiopoietin-related protein 3
Q9NQ79;CRTAC1;Cartilage acidic protein 1
Q9BXR6;CFHR5;Complement factor H-related protein 5
Q99650;OSMR;Oncostatin-M-specific receptor subunit beta
Q14515;SPARCL1;SPARC-like protein 1
Q8N423;LILRB2;Leukocyte immunoglobulin-like receptor subfamily B member 2
Q16853;AOC3;Membrane primary amine oxidase
Q16627;CCL14;C-C motif chemokine 14
Q15485;FCN2;Ficolin-2
Q8NHL6;LILRB1;Leukocyte immunoglobulin-like receptor subfamily B member 1
