UniProt ID;Gene;Protein name
P22307;SCP2;Non-specific lipid-transfer protein
Q9Y243;AKT3;RAC-gamma serine/threonine-protein kinase
P43628;KIR2DL3;Killer cell immunoglobulin-like receptor 2DL3
O75493;CA11;Carbonic anhydrase-related protein 11
P50749;RASSF2;Ras association domain-containing protein 2
P54727;RAD23B;UV excision repair protein RAD23 homolog B
Q6BAA4;FCRLB;Fc receptor-like B
P39748;FEN1;Flap endonuclease 1
Q9NS15;LTBP3;Latent-transforming growth factor beta-binding protein 3
Q92982;NINJ1;Ninjurin-1
Q8NBZ7;UXS1;UDP-glucuronic acid decarboxylase 1
P41586;ADCYAP1R1;Pituitary adenylate cyclase-activating polypeptide type I receptor
P31350;RRM2;Ribonucleoside-diphosphate reductase subunit M2
P01242;GH2;Growth hormone variant
Q08AG7;MZT1;Mitotic-spindle organizing protein 1
P43629;KIR3DL1;Killer cell immunoglobulin-like receptor 3DL1
Q6PGN9;PSRC1;Proline/serine-rich coiled-coil protein 1
O14964;HGS;Hepatocyte growth factor-regulated tyrosine kinase substrate
Q9P0J1;PDP1;[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial
A4D1B5;GSAP;Gamma-secretase-activating protein
P49788;RARRES1;Retinoic acid receptor responder protein 1
O75787;ATP6AP2;Renin receptor
O60828;PQBP1;Polyglutamine-binding protein 1
P21810;BGN;Biglycan
Q9H4P4;RNF41;E3 ubiquitin-protein ligase NRDP1
P06731;CEACAM5;Carcinoembryonic antigen-related cell adhesion molecule 5
Q9Y5V3;MAGED1;Melanoma-associated antigen D1
Q8N5S9;CAMKK1;Calcium/calmodulin-dependent protein kinase kinase 1
O14662;STX16;Syntaxin-16
Q9NRA1;PDGFC;Platelet-derived growth factor C
P35813;PPM1A;Protein phosphatase 1A
Q15797;SMAD1;Mothers against decapentaplegic homolog 1
P35070;BTC;Probetacellulin
Q7LG56;RRM2B;Ribonucleoside-diphosphate reductase subunit M2 B
Q8IWL2;SFTPA1;Pulmonary surfactant-associated protein A1
Q7L5Y9;MAEA;E3 ubiquitin-protein transferase MAEA
Q7Z7D3;VTCN1;V-set domain-containing T-cell activation inhibitor 1
Q96NB1;CEP20;Centrosomal protein 20
Q7Z434;MAVS;Mitochondrial antiviral-signaling protein
Q07960;ARHGAP1;Rho GTPase-activating protein 1
P34130;NTF4;Neurotrophin-4
Q9UKR0;KLK12;Kallikrein-12
Q6NXT1;ANKRD54;Ankyrin repeat domain-containing protein 54
Q05516;ZBTB16;Zinc finger and BTB domain-containing protein 16
O15116;LSM1;U6 snRNA-associated Sm-like protein LSm1
P48643;CCT5;T-complex protein 1 subunit epsilon
Q7Z6M1;RABEPK;Rab9 effector protein with kelch motifs
P07332;FES;Tyrosine-protein kinase Fes/Fps
P46060;RANGAP1;Ran GTPase-activating protein 1
P01375;TNF;Tumor necrosis factor
Q9Y265;RUVBL1;RuvB-like 1
