UniProt ID;Gene;Protein name
Q86VW0;SESTD1;SEC14 domain and spectrin repeat-containing protein 1
Q9H1C3;GLT8D2;Glycosyltransferase 8 domain-containing protein 2
Q8IU54;IFNL1;Interferon lambda-1
P15018;LIF;Leukemia inhibitory factor
Q9BXS1;IDI2;Isopentenyl-diphosphate delta-isomerase 2
P49023;PXN;Paxillin
Q8N2G4;LYPD1;Ly6/PLAUR domain-containing protein 1
Q4LE39;ARID4B;AT-rich interactive domain-containing protein 4B
Q9NXA8;SIRT5;NAD-dependent protein deacylase sirtuin-5, mitochondrial
P51531;SMARCA2;Probable global transcription activator SNF2L2
O96013;PAK4;Serine/threonine-protein kinase PAK 4
P05455;SSB;Lupus La protein
Q9NRW1;RAB6B;Ras-related protein Rab-6B
P13385;TDGF1;Teratocarcinoma-derived growth factor 1
P53582;METAP1;Methionine aminopeptidase 1
P20936;RASA1;Ras GTPase-activating protein 1
Q6P1M0;SLC27A4;Long-chain fatty acid transport protein 4
Q6PIL6;KCNIP4;Kv channel-interacting protein 4
Q6ZMC9;SIGLEC15;Sialic acid-binding Ig-like lectin 15
P15336;ATF2;Cyclic AMP-dependent transcription factor ATF-2
P48047;ATP5PO;ATP synthase subunit O, mitochondrial
P08758;ANXA5;Annexin A5
Q6ZMJ4;IL34;Interleukin-34
P53985;SLC16A1;Monocarboxylate transporter 1
Q96JP9;CDHR1;Cadherin-related family member 1
P45452;MMP13;Collagenase 3
Q9UKV5;AMFR;E3 ubiquitin-protein ligase AMFR
P02533;KRT14;Keratin, type I cytoskeletal 14
Q8WTV0;SCARB1;Scavenger receptor class B member 1
Q9NSK7;C19orf12;Protein C19orf12
P22676;CALB2;Calretinin
O14579;COPE;Coatomer subunit epsilon
P51452;DUSP3;Dual specificity protein phosphatase 3
P09769;FGR;Tyrosine-protein kinase Fgr
Q92597;NDRG1;Protein NDRG1
P41208;CETN2;Centrin-2
O60240;PLIN1;Perilipin-1
P29474;NOS3;Nitric oxide synthase, endothelial
P26440;IVD;Isovaleryl-CoA dehydrogenase, mitochondrial
P53539;FOSB;Protein fosB
Q9Y6E0;STK24;Serine/threonine-protein kinase 24
Q9UM07;PADI4;Protein-arginine deiminase type-4
A1E959;ODAM;Odontogenic ameloblast-associated protein
Q9HAW4;CLSPN;Claspin
Q9UJY5;GGA1;ADP-ribosylation factor-binding protein GGA1
P60484;PTEN;Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN
P30039;PBLD;Phenazine biosynthesis-like domain-containing protein
P14625;HSP90B1;Endoplasmin
P10636;MAPT;Microtubule-associated protein tau
P01375;TNF;Tumor necrosis factor
Q5JZY3;EPHA10;Ephrin type-A receptor 10
Q03393;PTS;6-pyruvoyl tetrahydrobiopterin synthase
Q15633;TARBP2;RISC-loading complex subunit TARBP2
Q13426;XRCC4;DNA repair protein XRCC4
Q9H0C8;ILKAP;Integrin-linked kinase-associated serine/threonine phosphatase 2C
Q8WUW1;BRK1;Protein BRICK1
Q9NRG1;PRTFDC1;Phosphoribosyltransferase domain-containing protein 1
P58417;NXPH1;Neurexophilin-1
Q9H3R2;MUC13;Mucin-13
Q15126;PMVK;Phosphomevalonate kinase
Q6UX27;VSTM1;V-set and transmembrane domain-containing protein 1
P30519;HMOX2;Heme oxygenase 2
Q9UBB4;ATXN10;Ataxin-10
Q86Z14;KLB;Beta-klotho
O14523;C2CD2L;Phospholipid transfer protein C2CD2L
