UNIPROT	Target	TargetFullName	uniprot_gn_id	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	ensembl_gene_id	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38
A0FGR8	ESYT2	Extended synaptotagmin-2	A0A499FIX8	ESYT2	57488	ESYT2	HGNC:22211	NA	NA	ESYT2	protein_coding	7	158523689	158622319	-	158730995	158830253	-
A0JNW5	BLTP3B	UHRF1-binding protein 1-like	A0JNW5	BLTP3B	23074	BLTP3B	HGNC:29102	BLTP3B	ENSG00000111647	BLTP3B	protein_coding	12	100430863	100536642	-	100028455	100142874	-
A1A4S6	ARHGAP10	Rho GTPase-activating protein 10	A1A4S6	ARHGAP10	79658	ARHGAP10	HGNC:26099	ARHGAP10	ENSG00000071205	ARHGAP10	protein_coding	4	148653453	148993927	+	147732063	148072776	+
A1A5D9	BICDL2	BICD family-like cargo adapter 2	A1A5D9	BICDL2	146439	BICDL2	HGNC:33584	BICDL2	ENSG00000162069	BICDL2	protein_coding	16	3077868	3085542	-	3027682	3036944	-
A1E959	ODAM	Odontogenic ameloblast-associated protein	A1E959	ODAM	54959	ODAM	HGNC:26043	ODAM	ENSG00000109205	ODAM	protein_coding	4	71062244	71070293	+	70195725	70204576	+
A1KZ92	PXDNL	Probable oxidoreductase PXDNL	A1KZ92	PXDNL	137902	PXDNL	HGNC:26359	PXDNL	ENSG00000147485	PXDNL	protein_coding	8	52232137	52722005	-	51319577	51809445	-
A1L390	PLEKHG3	Pleckstrin homology domain-containing family G member 3	A1L390	PLEKHG3	26030	PLEKHG3	HGNC:20364	PLEKHG3	ENSG00000126822	PLEKHG3	protein_coding	14	65171193	65211060	+	64704102	64750249	+
A1L4H1	SSC5D	Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D	A1L4H1	SSC5D	284297	SSC5D	HGNC:26641	SSC5D	ENSG00000179954	SSC5D	protein_coding	19	55999870	56030466	+	55488404	55519099	+
A1L4K1	FSD2	Fibronectin type III and SPRY domain-containing protein 2	A1L4K1	FSD2	123722	FSD2	HGNC:18024	FSD2	ENSG00000186628	FSD2	protein_coding	15	83428024	83474806	-	82755362	82806070	-
A1X283	SH3PXD2B	SH3 and PX domain-containing protein 2B	A1X283	SH3PXD2B	285590	SH3PXD2B	HGNC:29242	SH3PXD2B	ENSG00000174705	SH3PXD2B	protein_coding	5	171760503	171881527	-	172325000	172454525	-
A1YPR0	ZBTB7C	Zinc finger and BTB domain-containing protein 7C	A1YPR0	ZBTB7C	201501	ZBTB7C	HGNC:31700	ZBTB7C	ENSG00000184828	ZBTB7C	protein_coding	18	45553639	45935663	-	48026672	48410752	-
A1Z1Q3	MACROD2	ADP-ribose glycohydrolase MACROD2	A1Z1Q3	MACROD2	140733	MACROD2	HGNC:16126	MACROD2	ENSG00000172264	MACROD2	protein_coding	20	13976146	16033841	+	13995369	16053197	+
A2A288	ZC3H12D	Probable ribonuclease ZC3H12D	A2A288	ZC3H12D	340152	ZC3H12D	HGNC:21175	ZC3H12D	ENSG00000178199	ZC3H12D	protein_coding	6	149768766	149806148	-	149446795	149485014	-
A2A2Z9	ANKRD18B	Ankyrin repeat domain-containing protein 18B	A2A2Z9	ANKRD18B	441459	ANKRD18B	HGNC:23644	ANKRD18B	ENSG00000230453	ANKRD18B	protein_coding	9	33524411	33573001	+	33524251	33608848	+
A2A3L6	TTC24	Tetratricopeptide repeat protein 24	A2A3L6	TTC24	164118	TTC24	HGNC:32348	TTC24	ENSG00000187862	TTC24	protein_coding	1	156549519	156556562	+	156579723	156587719	+
A2PYH4	HFM1	Probable ATP-dependent DNA helicase HFM1	A2PYH4	HFM1	164045	HFM1	HGNC:20193	HFM1	ENSG00000162669	HFM1	protein_coding	1	91726323	91870426	-	91260766	91404856	-
A2RTX5	TARS3	Threonine--tRNA ligase 2, cytoplasmic	A2RTX5	TARS3	123283	TARS3	HGNC:24728	TARS3	ENSG00000185418	TARS3	protein_coding	15	102193955	102264645	-	101653596	101724473	-
A2RU37	LINC02872	Uncharacterized protein encoded by LINC02872	NA	NA	NA	NA	NA	NA	ENSG00000204446	NA	NA	9	NA	NA	NA	NA	NA	NA
A2RU48	SMCO3	Single-pass membrane and coiled-coil domain-containing protein 3	A2RU48	SMCO3	440087	SMCO3	HGNC:34401	SMCO3	ENSG00000179256	SMCO3	protein_coding	12	14957584	14967116	-	14804650	14814182	-
A2RUB1	MEIOC	Meiosis-specific coiled-coil domain-containing protein MEIOC	A2RUB1	MEIOC	284071	MEIOC	HGNC:26670	MEIOC	ENSG00000180336	MEIOC	protein_coding	17	42733762	42755658	+	44656404	44690308	+
A2RUB6	CCDC66	Coiled-coil domain-containing protein 66	A2RUB6	CCDC66	285331	CCDC66	HGNC:27709	CCDC66	ENSG00000180376	CCDC66	protein_coding	3	56591184	56655848	+	56557161	56621837	+
A2RUC4	TYW5	tRNA wybutosine-synthesizing protein 5	A2RUC4	TYW5	129450	TYW5	HGNC:26754	TYW5	ENSG00000162971	TYW5	protein_coding	2	200793634	200820459	-	199928913	199955736	-
A2VCK2	DCDC2B	Doublecortin domain-containing protein 2B	A2VCK2	DCDC2B	149069	DCDC2B	HGNC:32576	DCDC2B	ENSG00000222046	DCDC2B	protein_coding	1	32674695	32681797	+	32209089	32216192	+
A2VDF0	FUOM	Fucose mutarotase	A2VDF0	FUOM	282969	FUOM	HGNC:24733	FUOM	ENSG00000148803	FUOM	protein_coding	10	135168658	135171529	-	133355158	133358025	-
A2VDJ0	TMEM131L	Transmembrane protein 131-like	A2VDJ0	TMEM131L	23240	TMEM131L	HGNC:29146	TMEM131L	ENSG00000121210	TMEM131L	protein_coding	4	154387498	154557862	+	153466346	153636711	+
