UniProt ID;Gene;Protein name
Q96KB5;PBK;Lymphokine-activated killer T-cell-originated protein kinase
Q8ND71;GIMAP8;GTPase IMAP family member 8
O75330;HMMR;Hyaluronan mediated motility receptor
Q14677;CLINT1;Clathrin interactor 1
Q9GZT3;SLIRP;SRA stem-loop-interacting RNA-binding protein, mitochondrial
Q00994;BEX3;Protein BEX3
Q86SQ0;PHLDB2;Pleckstrin homology-like domain family B member 2
Q9NPI5;NMRK2;Nicotinamide riboside kinase 2
Q9H9E1;ANKRA2;Ankyrin repeat family A protein 2
O43889;CREB3;Cyclic AMP-responsive element-binding protein 3
P48165;GJA8;Gap junction alpha-8 protein
Q9UQE7;SMC3;Structural maintenance of chromosomes protein 3
O15264;MAPK13;Mitogen-activated protein kinase 13
P06493;CDK1;Cyclin-dependent kinase 1
Q15652;JMJD1C;Probable JmjC domain-containing histone demethylation protein 2C
P00167;CYB5A;Cytochrome b5
Q8N130;SLC34A3;Sodium-dependent phosphate transport protein 2C
Q6PUV4;CPLX2;Complexin-2
Q9H741;SPRING1;SREBP regulating gene protein
P78395;PRAME;Melanoma antigen preferentially expressed in tumors
Q3MIW9;MUCL3;Mucin-like protein 3
Q9UJZ1;STOML2;Stomatin-like protein 2, mitochondrial
Q12836;ZP4;Zona pellucida sperm-binding protein 4
A6NGN9;IGLON5;IgLON family member 5
A8MVZ5;BTNL10;Butyrophilin-like protein 10
Q99259;GAD1;Glutamate decarboxylase 1
Q8N4E4;PDCL2;Phosducin-like protein 2
Q8WZ55;BSND;Barttin
P18848;ATF4;Cyclic AMP-dependent transcription factor ATF-4
O00534;VWA5A;von Willebrand factor A domain-containing protein 5A
P31689;DNAJA1;DnaJ homolog subfamily A member 1
P31371;FGF9;Fibroblast growth factor 9
Q8IYV9;IZUMO1;Izumo sperm-egg fusion protein 1
Q13017;ARHGAP5;Rho GTPase-activating protein 5
Q12899;TRIM26;Tripartite motif-containing protein 26
Q15014;MORF4L2;Mortality factor 4-like protein 2
Q9H867;VCPKMT;Protein-lysine methyltransferase METTL21D
Q6NT46;GAGE2A;G antigen 2A
Q7Z460;CLASP1;CLIP-associating protein 1
Q7Z4W2;LYZL2;Lysozyme-like protein 2
Q9UPY8;MAPRE3;Microtubule-associated protein RP/EB family member 3
Q14674;ESPL1;Separin
