UniProt ID;Gene;Protein name
P62760;VSNL1;Visinin-like protein 1
P23515;OMG;Oligodendrocyte-myelin glycoprotein
P61266;STX1B;Syntaxin-1B
O95502;NPTXR;Neuronal pentraxin receptor
P21579;SYT1;Synaptotagmin-1
P09104;ENO2;Gamma-enolase
Q9NP99;TREM1;Triggering receptor expressed on myeloid cells 1
O94760;DDAH1;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1
O60259;KLK8;Kallikrein-8
O43524;FOXO3;Forkhead box protein O3
P20711;DDC;Aromatic-L-amino-acid decarboxylase
P11215;ITGAM;Integrin alpha-M
P09238;MMP10;Stromelysin-2
Q9Y6H5;SNCAIP;Synphilin-1
Q9NZC2;TREM2;Triggering receptor expressed on myeloid cells 2
P05107;ITGB2;Integrin beta-2
Q9H4F8;SMOC1;SPARC-related modular calcium-binding protein 1
P56817;BACE1;Beta-secretase 1
P13521;SCG2;Secretogranin-2
P18075;BMP7;Bone morphogenetic protein 7
Q15818;NPTX1;Neuronal pentraxin-1
P01903;HLA-DRA;HLA class II histocompatibility antigen, DR alpha chain
P19525;EIF2AK2;Interferon-induced, double-stranded RNA-activated protein kinase
Q5S007;LRRK2;Leucine-rich repeat serine/threonine-protein kinase 2
P31431;SDC4;Syndecan-4
P07196;NEFL;Neurofilament light polypeptide
P39905;GDNF;Glial cell line-derived neurotrophic factor
Q9BQT9;CLSTN3;Calsyntenin-3
Q15109;AGER;Advanced glycosylation end product-specific receptor
P04637;TP53;Cellular tumor antigen p53
P05067;Abeta40;Amyloid-beta precursor protein
P10636;pTau217;Microtubule-associated protein tau
P14136;GFAP;Glial fibrillary acidic protein
P35754;GLRX;Glutaredoxin-1
Q9NZC7;WWOX;WW domain-containing oxidoreductase
Q9BZR6;RTN4R;Reticulon-4 receptor
P05067;Abeta42;Amyloid-beta precursor protein
P01138;NGF;Beta-nerve growth factor
Q8N2Q7;NLGN1;Neuroligin-1
P47972;NPTX2;Neuronal pentraxin-2
Q16653;MOG;Myelin-oligodendrocyte glycoprotein
